#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-13T01:03:35 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-13T01:03:35	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/145/101&tab:{J/AJ/145/101/catalog}&key:source=J/AJ/145/101/catalog&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/101/catalog
#-order=I
#-out=Name
#-out=Nd
#-out=RAJ2000
#-out=DEJ2000
#-out=a26
#-out=l_FUV
#-out=FUV
#-out=Bmag
#-out=l_Hamag
#-out=Hamag
#-out=Kmag
#-out=l_HImag
#-out=HImag
#-out=W50
#-out=TT
#-out=Mcl
#-out=Tdw
#-out=HRV
#-out=Dist
#-out=A26
#-out=i
#-out=vAmp
#-out=<Bmu>
#-out=M26
#-out=l_MHI
#-out=MHI
#-out=Vlg
#-out=Ti5
#-out=K+04
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	
#INFO	publisher=CDS	
#INFO	creator=Karachentsev I.D.	
#INFO	related_resource=bibcode:2013AJ....145..101K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	
#INFO	publication_id=doi:10.26093/cds/vizier.51450101	
#INFO	publication_date=2017-06-12	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;Nd;RAJ2000;DEJ2000;a26;l_FUV;FUV;Bmag;l_Hamag;Hamag;Kmag;l_HImag;HImag;W50;TT;Mcl;Tdw;HRV;Dist;A26;i;vAmp;<Bmu>;M26;l_MHI;MHI;Vlg;Ti5;K+04;SimbadName
019.124167;+33.419167;And II            ;  6;01 16 29.8;+33 25 09;  2.82; ;21.67;15.10; ;24.59;10.75;>; 16.31;   ;-3;Sph  ;L;-194; 0.65; 0.57;45;   ;25.9;     ;<; 5.44;  40; 2.1;  1;And II
019.625000;+46.366111;And XXIV          ;  3;01 18 30.0;+46 21 58;  3.30; ;     ;17.20; ;     ;12.78; ;      ;   ;-3;Sph  ;X;-128; 0.60; 0.63;52;   ;28.3;     ; ;     ; 127; 1.9;  0;And XXIV
021.916667;+28.090278;And XXII          ;  4;01 27 40.0;+28 05 25;  1.40; ;22.43;18.80; ;     ;14.40; ;      ;   ;-3;Sph  ;X;-127; 0.79; 0.35;90;   ;28.0;     ; ;     ;  87; 2.3;  0;And XXII
022.196667;+16.688056;UGC01056          ;  8;01 28 47.2;+16 41 17;  1.00; ;17.24;14.81; ;18.17;12.00; ; 16.05; 42; 9;Im   ;N; 595; 7.30; 2.24;54; 20;23.2; 8.03; ; 7.64; 774; 1.1;  0;UGC01056
022.340833;+38.718889;And XXIII         ;  3;01 29 21.8;+38 43 08;  7.30; ;     ;15.10; ;     ;10.74; ;      ;   ;-3;Sph  ;X;-243; 0.73; 1.65;71;   ;27.9;     ; ;     ;  -6; 2.5;  0;And XXIII
023.176250;+18.315833;UGC01104          ;  8;01 32 42.3;+18 18 57;  1.78; ;16.12;14.48; ;18.25;11.81; ; 15.17; 83; 9;BCD  ;N; 688; 7.55; 4.06;62; 41;24.2; 8.90; ; 8.02; 869; 0.5;  1;UGC01104
023.461667;+30.660278;MESSIER033        ;  8;01 33 50.8;+30 39 37; 69.18; ; 8.21; 6.27; ;12.20; 4.10; ;  7.17;181; 5;     ; ;-182; 0.85;17.38;54; 99;23.7;10.29; ; 9.32;  34; 1.7;  1;MESSIER033
023.715000;+52.091667;KKH6              ;  8;01 34 51.6;+52 05 30;  0.87;>;23.00;17.00; ;20.82;13.73; ; 17.11; 28;10;Ir   ;N;  60; 3.73; 1.29;62;  8;24.5; 6.98; ; 6.63; 313;-0.1;  1;[KKH2001] 6
023.770833;-41.436389;NGC0625           ;  8;01 35 05.0;-41 26 11;  7.08; ;13.90;11.59; ;14.69; 8.90; ; 13.85; 75; 8;     ; ; 395; 3.89; 7.73;76; 34;24.3; 9.01; ; 7.97; 325;-0.2;  1;NGC0625
024.172083;+15.786667;NGC0628           ;  8;01 36 41.3;+15 47 12; 11.22; ;12.24; 9.79; ;13.63; 6.85; ; 11.54; 53; 5;     ; ; 657; 7.31;25.40;20; 64;23.5;10.08; ; 9.44; 827;-0.2;  1;NGC0628
024.923333;+15.903056;UGC01171          ;  7;01 39 41.6;+15 54 11;  1.29; ;18.77;15.71; ;22.97;13.13; ; 15.02; 25;10;Ir   ;N; 738; 7.38; 2.91;26;  8;24.8; 7.39; ; 8.06; 906; 2.2;  1;UGC01171
025.040000;+15.904722;DDO013            ;  7;01 40 09.6;+15 54 17;  4.57; ;15.97;14.37; ;17.66;11.76; ; 13.97; 35;10;Ir   ;L; 631; 9.04;12.64;44; 18;26.1; 8.68; ; 8.66; 798;-1.2;  1;DDO013
025.282917;+27.323889;AGC112521         ;  6;01 41 07.9;+27 19 26;  0.60; ;21.08;17.80; ;23.38;15.20; ; 17.88; 26;10;Ir   ;L; 274; 6.52; 1.18;67;  5;25.1; 6.58; ; 6.81; 476;-0.5;  0;AGC112521
025.570000;+26.367778;KK13              ;  7;01 42 16.8;+26 22 04;  0.71; ;19.01;16.57; ;20.78;13.86; ; 17.12; 31;10;Ir   ;N; 357; 7.20; 1.58;65; 11;24.2; 7.33; ; 7.20; 556; 1.0;  1;[KK98a] 13
025.922500;+15.689722;KDG010            ;  7;01 43 41.4;+15 41 23;  1.45; ;19.78;16.28; ;20.02;13.64; ; 16.02; 32;10;Ir   ;L; 789; 7.87; 3.49;55; 13;25.5; 7.81; ; 7.72; 953; 0.0;  1;KDG010
026.177917;+27.287778;KK14              ;  7;01 44 42.7;+27 17 16;  0.79; ;19.14;17.47; ;21.97;14.84; ; 16.22; 28;10;Ir   ;L; 420; 7.20; 1.71;90;  7;25.4; 6.95; ; 7.56; 619; 2.1;  1;[KK98a] 14
026.265000;-43.598056;ESO245-005        ;  8;01 45 03.6;-43 35 53;  3.80; ;13.77;12.70; ;16.18;10.26; ; 12.62; 60; 9;Im   ;N; 393; 4.43; 4.95;30; 51;24.2; 9.18; ; 8.58; 307;-0.5;  1;ESO245-005
026.673333;+26.801389;KK15              ;  7;01 46 41.6;+26 48 05;  0.59; ;19.88;18.22; ;22.66;15.54; ; 17.50; 22;10;Ir   ;L; 366; 7.20; 1.28;90;  3;25.4; 5.97; ; 7.05; 563; 2.2;  1;[KK98a] 15
026.875417;+27.331111;IC1727            ;  7;01 47 30.1;+27 19 52;  6.92; ;14.10;12.07; ;16.20; 8.97; ; 12.94;129; 8;     ; ; 336; 7.20;14.97;70; 60;24.4; 9.79; ; 8.87; 533; 4.0;  1;IC1727
026.971667;+27.433611;NGC0672           ;  8;01 47 53.2;+27 26 01;  7.24; ;13.86;11.31; ;15.25; 8.51; ; 12.05;205; 6;     ; ; 429; 7.20;15.68;71; 96;23.5;10.22; ; 9.23; 626; 3.8;  1;NGC0672
027.384583;+32.592500;UGC01281          ;  8;01 49 32.3;+32 35 33;  5.62; ;15.47;12.87; ;17.52;10.50; ; 13.75;123; 7;     ; ; 157; 4.94; 7.88;85; 54;24.7; 9.42; ; 8.22; 367;-0.9;  1;UGC01281
027.776250;-44.444722;Phoenix           ;  5;01 51 06.3;-44 26 41;  5.50; ;16.37;13.72; ;     ;11.31;>; 16.00;   ;10;Tr   ;L; -52; 0.44; 0.71;35;   ;26.0;     ;<; 5.22;-145; 0.8;  1;Phoenix
028.835833;+27.954167;KK16              ;  7;01 55 20.6;+27 57 15;  1.32; ;18.75;16.30; ;21.30;13.68; ; 17.42; 24;10;Ir   ;N; 207; 5.47; 2.15;90;  3;25.3; 6.19; ; 6.84; 400;-1.1;  1;[KK98a] 16
030.041250;+28.832500;KK17              ;  8;02 00 09.9;+28 49 57;  1.00; ;19.69;17.20; ;21.27;14.24; ; 17.44; 20;10;Ir   ;L; 168; 4.90; 1.46;72;  3;25.6; 6.07; ; 6.74; 360; 1.1;  1;[KK98a] 17
030.320000;+28.843611;NGC0784           ;  8;02 01 16.8;+28 50 37;  6.61; ;14.42;12.22; ;16.24;10.29; ; 13.16; 88; 8;     ; ; 193; 4.97; 9.52;79; 39;24.7; 9.23; ; 8.46; 385;-0.4;  1;NGC0784
031.020833;+24.207778;UGC1561           ;  7;02 04 05.0;+24 12 28;  2.34; ;17.19;14.51; ;     ;11.83; ; 16.04; 39; 9;BCD  ;N; 606; 7.20; 5.28;34; 26;24.8; 8.63; ; 7.63; 782;-0.3;  0;UGC1561
031.532917;+69.010000;Cas1              ;  7;02 06 07.9;+69 00 36;  2.19; ;     ;15.29; ;17.16; 9.34; ; 13.15; 50;10;Ir   ;N;  35; 3.30; 5.39;45; 29;23.3; 8.73; ; 8.11; 284; 0.7;  1;Cas1
033.232500;+32.814167;UGC01703          ;  5;02 12 55.8;+32 48 51;  0.79;>;23.00;17.00; ;24.29;12.52;>; 18.20;   ;-2;Tr   ;N;    ; 4.19; 1.05;72;   ;24.9;     ;<; 6.30;    ;-0.8;  0;UGC01703
033.515417;+27.877222;NGC0855           ;  8;02 14 03.7;+27 52 38;  3.09; ;16.52;13.30; ;16.70; 9.83; ; 14.64; 94; 0;dS0em;N; 591; 9.73; 8.91;85; 41;24.1; 9.24; ; 8.45; 770;-0.7;  1;NGC0855
034.816667;+20.175278;Segue 2           ;  4;02 19 16.0;+20 10 31;  5.40; ;21.01;16.20; ;     ;11.36; ;      ;   ;-3;Sph  ;X; -39; 0.03; 0.07;39;   ;28.2;     ; ;     ; 112; 3.8;  0;NAME Segue 2
035.636667;+42.346667;NGC0891           ;  8;02 22 32.8;+42 20 48; 13.18; ;15.15;10.71; ;15.56; 5.94; ; 11.68;456; 3;     ; ; 526; 9.77;37.89;82;218;23.7;11.32; ; 9.64; 736;-0.5;  1;NGC0891
036.145833;+56.011667;KKH11             ;  7;02 24 35.0;+56 00 42;  1.66; ;     ;16.20; ;19.11;11.74; ; 14.06; 84;10;Ir   ;N; 296; 3.00; 2.24;68; 40;24.7; 8.61; ; 7.66; 528; 1.7;  1;[KKH2001] 11
036.177917;-73.512778;[KK2000] 03       ;  5;02 24 42.7;-73 30 46;  2.45;>;23.00;16.00; ;     ;10.83;>; 18.20;   ;-3;Tr   ;L;    ; 4.10; 3.01;90;   ;26.4;     ;<; 6.28;    ;-0.6;  1;[KK2000] 03
036.250833;+36.037778;DDO019            ;  7;02 25 00.2;+36 02 16;  2.14; ;16.62;15.80; ;18.19;13.14; ; 14.87; 87;10;Ir   ;L; 577; 9.30; 6.10;46; 53;25.9; 9.30; ; 8.32; 771; 0.5;  0;DDO019
036.720000;+33.426944;d0226+3325        ;  6;02 26 52.8;+33 25 37;  1.66; ;     ;17.50; ;25.32;14.86; ; 15.67; 40;10;Ir   ;X; 520; 9.30; 4.80;26; 36;27.1; 8.85; ; 8.00; 705; 3.7;  0;[KKH2007] dJ0226+3325
036.816667;+33.578056;NGC0925           ;  8;02 27 16.0;+33 34 41; 11.75; ;12.72;10.58; ;14.11; 7.87; ; 11.73;203; 7;     ; ; 553; 9.29;33.32;57;107;24.1;10.65; ; 9.58; 738; 1.0;  1;NGC0925
036.833333;+33.958333;Halogas           ;  6;02 27 20.0;+33 57 30;  0.43; ;19.99;18.00; ;     ;15.35; ; 17.87; 28;10;Ir   ;L; 528; 9.30; 1.23;47; 10;24.6; 7.12; ; 7.12; 714; 2.8;  0;
036.862500;+57.487778;KKH12             ;  7;02 27 27.0;+57 29 16;  1.70; ;     ;17.80; ;19.13;11.79; ; 15.13; 48;10;Ir   ;L;  70; 3.00; 2.97;90; 20;25.7; 8.14; ; 7.23; 303; 2.1;  1;[KKH2001] 12
038.225000;+38.680556;DDO022            ;  7;02 32 54.0;+38 40 50;  1.74; ;18.30;15.65; ;19.64;13.11; ; 15.54; 52;10;Ir   ;N; 570; 9.30; 4.69;90; 22;25.3; 8.41; ; 8.05; 765; 0.4;  0;DDO022
038.325833;+33.491111;DDO025            ;  7;02 33 18.2;+33 29 28;  2.57; ;15.90;13.96; ;17.50;10.98; ; 14.65; 36; 8;     ; ; 604; 9.30; 7.57;23; 33;24.4; 8.97; ; 8.41; 785; 1.2;  0;DDO025
038.429167;+40.528056;DDO024            ;  6;02 33 43.0;+40 31 41;  2.62; ;     ;13.68; ;18.42;10.86; ; 13.97; 48; 8;     ; ; 581; 9.80; 7.80;36; 33;24.3; 9.00; ; 8.73; 780; 1.0;  0;DDO024
038.898333;+59.379722;MB1               ;  7;02 35 35.6;+59 22 47;  1.07; ;     ;17.80; ;19.79;10.46; ; 15.05; 50;10;Ir   ;L; 190; 3.00; 2.25;87; 21;24.3; 8.04; ; 7.27; 421; 4.6;  1;[MB95] 1
039.147917;+59.655000;Maffei1           ;  5;02 36 35.5;+59 39 18;  2.69; ;     ;13.47;>;21.40; 5.55; ;      ;   ;-3;     ; ;  66; 3.01;10.48;39;   ;22.4;     ; ;     ; 298; 2.6;  1;Maffei1
039.437500;-61.341111;ESO115-021        ;  8;02 37 45.0;-61 20 28;  7.24; ;14.83;13.34; ;16.63; 9.97; ; 12.91;121; 7;     ; ; 515; 4.99; 9.95;90; 53;25.8; 9.50; ; 8.56; 339;-1.0;  1;ESO115-021
039.977917;-34.525833;Fornax            ;  5;02 39 54.7;-34 31 33; 17.78; ;20.68; 9.28; ;     ; 5.13;>; 13.58;   ;-3;Sph  ;L;  29; 0.14; 0.72;58;   ;24.1;     ;<; 5.19; -56; 2.2;  1;
040.477083;+59.603056;Maffei2           ;  7;02 41 54.5;+59 36 11;  3.80; ;     ;14.77; ;17.32; 4.50; ; 11.12;306; 4;     ; ; -15; 2.80;14.28;63;159;22.0;10.62; ; 8.78; 214; 2.4;  1;Maffei2
040.545000;+43.355278;UGC02172          ;  6;02 42 10.8;+43 21 19;  1.41; ;     ;14.60; ;     ;12.37; ; 15.99; 60;10;Ir   ;N; 565; 9.30; 4.13;61; 29;23.7; 8.62; ; 7.87; 765; 0.4;  0;UGC02172
041.662083;+27.726389;AGC122226         ;  6;02 46 38.9;+27 43 35;  0.85; ;     ;17.08; ;19.27;14.25; ; 16.62; 29; 9;BCD  ;N; 472; 8.56; 2.32;67;  9;25.0; 7.30; ; 7.55; 625;-0.8;  0;AGC122226
043.535417;+59.005278;Dw2               ;  7;02 54 08.5;+59 00 19;  1.00; ;     ;17.97; ;20.16;10.22; ; 13.20;100;10;Ir   ;N;  94; 3.00; 2.55;90; 44;23.8; 8.75; ; 8.01; 316; 2.9;  1;Dwingeloo 2
043.931667;+58.861667;MB3               ;  7;02 55 43.6;+58 51 42;  1.58; ;     ;19.38;>;24.39;10.93; ; 13.77; 15;10;Ir   ;N;  59; 3.00; 4.47;90;  3;25.9; 6.51; ; 7.78; 281; 3.1;  1;[MB95] 3
044.210000;-54.573056;ESO154-023        ;  7;02 56 50.4;-54 34 23;  8.32; ;13.93;12.71; ;16.14; 9.81; ; 11.83;122; 8;     ; ; 574; 5.55;12.72;83; 53;25.5; 9.62; ; 9.09; 408;-1.1;  1;ESO154-023
044.233750;+58.911667;Dw1               ;  6;02 56 56.1;+58 54 42;  2.00; ;     ;15.01; ;17.30; 5.17; ; 11.72;187; 3;     ; ; 112; 2.80; 6.30;52;105;21.5; 9.91; ; 8.54; 333; 2.7;  1;Dwingeloo 1
044.517083;-49.382500;ESO199-007        ;  5;02 58 04.1;-49 22 57;  1.07; ;17.80;16.44; ;     ;14.01; ; 16.61; 55;10;Ir   ;N; 630; 6.56; 2.01;90; 23;25.1; 8.10; ; 7.32; 479;-1.0;  0;ESO199-007
044.926667;+25.237500;NGC1156           ;  8;02 59 42.4;+25 14 15;  3.31; ;14.50;12.32; ;15.01; 9.55; ; 13.23; 68; 8;     ; ; 373; 7.80; 9.21;32; 55;23.0; 9.51; ; 8.82; 507;-0.3;  1;NGC1156
045.163750;+25.782222;LV J0300+2546     ;  7;03 00 39.3;+25 46 56;  0.35; ;22.57;18.10; ;21.73;14.50; ; 19.80; 19;10;Ir   ;N; 308; 7.80; 1.05;33;  5;23.7; 6.41; ; 6.20; 443; 1.6;  0;[KMK2013] LV J0300+2546
045.774583;+33.694444;KKH18             ;  7;03 03 05.9;+33 41 40;  0.71; ;18.43;16.70; ;20.69;13.56; ; 16.39; 34;10;Ir   ;N; 216; 4.43; 1.07;65; 13;24.1; 7.33; ; 7.07; 374;-0.9;  1;[KKH2001] 18
047.407500;-41.030556;ESO300-014        ;  8;03 09 37.8;-41 01 50;  7.08; ;15.03;13.06; ;17.43;10.00; ; 14.15;130; 8;     ; ; 955; 9.80;19.96;60; 66;25.7;10.00; ; 8.65; 824; 0.0;  0;ESO300-014
047.543750;-40.003056;ESO300-016        ;  7;03 10 10.5;-40 00 11;  1.45; ;17.44;15.57; ;20.51;13.15; ; 15.90; 37;10;Ir   ;N; 710; 8.80; 3.72;50; 18;24.9; 8.12; ; 7.86; 583; 1.7;  0;ESO300-016
049.327500;-41.108056;NGC1291           ;  8;03 17 18.6;-41 06 29; 14.45; ;14.31; 9.42; ;14.58; 5.66; ; 13.10; 40; 1;     ; ; 838; 8.80;37.35;25; 37;23.8; 9.77; ; 8.98; 702;-0.8;  0;NGC1291
049.564167;-66.497500;NGC1313           ;  8;03 18 15.4;-66 29 51; 12.59; ;11.49; 9.66; ;12.98; 7.57; ; 10.77;167; 7;     ; ; 470; 4.07;16.37;37;120;23.4;10.44; ; 9.24; 264;-0.7;  1;NGC1313
050.030833;-52.185000;NGC1311           ;  8;03 20 07.4;-52 11 06;  4.68; ;15.02;13.40; ;16.46;10.92; ; 14.44; 82; 8;     ; ; 571; 5.20; 6.83;78; 36;25.2; 9.02; ; 7.99; 399;-0.9;  1;NGC1311
050.098750;+17.295000;UGC02684          ;  8;03 20 23.7;+17 17 42;  1.95; ;17.83;16.29; ;20.28;13.46; ; 15.10; 79;10;Ir   ;N; 350; 6.49; 4.07;72; 36;26.0; 8.79; ; 7.92; 438;-0.1;  1;UGC02684
050.262500;-66.319722;KK27              ;  6;03 21 03.0;-66 19 11;  1.17; ;19.88;16.50; ;     ;13.85; ; 19.15; 10;10;Ir   ;L; 533; 3.98; 1.40;90;  3;25.2; 6.01; ; 5.87; 327; 1.6;  1;[KK98a] 27
051.030000;+17.754167;UGC02716          ;  7;03 24 07.2;+17 45 15;  1.58; ;17.07;14.64; ;18.81;11.50; ; 15.67; 44; 8;     ; ; 381; 6.40; 3.28;57; 21;23.9; 8.21; ; 7.68; 467;-0.8;  1;UGC02716
053.029583;+47.793611;UGC02773          ;  6;03 32 07.1;+47 47 37;  1.20; ;     ;15.00; ;15.94; 9.77; ; 13.93; 81; 9;Im   ;N; 216; 5.40; 3.16;47; 48;22.7; 8.94; ; 8.23; 395;-1.1;  1;UGC02773
053.299167;-50.410556;IC1959            ;  8;03 33 11.8;-50 24 38;  4.07; ;14.47;13.20; ;16.39;11.04; ; 13.83;128; 8;     ; ; 640; 6.05; 6.84;79; 57;24.5; 9.41; ; 8.36; 465;-1.1;  1;IC1959
053.986667;-45.191389;PGC013294         ;  4;03 35 56.8;-45 11 29;  0.62; ;17.61;16.13; ;     ;13.73;>; 17.40;   ;10;Ir   ;N; 744; 7.98; 1.43;41;   ;23.7;     ;<; 7.18; 582;-0.2;  0;6dFGS gJ033556.8-451129
054.878333;-18.688056;NGC1400           ;  5;03 39 30.8;-18 41 17;  3.47; ;17.50;11.92; ;     ; 7.81; ;      ;   ;-3;     ; ; 569;24.50;26.71;36;   ;23.1;     ; ;     ; 496;-1.8;  0;NGC1400
056.235833;+72.064444;KKH22             ;  4;03 44 56.6;+72 03 52;  1.05;>;23.00;18.00; ;     ;14.13;>; 17.40;   ;10;Tr   ;L;    ; 3.50; 1.49;70;   ;25.8;     ;<; 6.46;    ; 1.2;  0;[KKH2001] 22
056.302500;+67.863889;KK35              ;  5;03 45 12.6;+67 51 50;  2.51; ;19.07;15.70; ;16.69;11.06; ;      ;   ;10;Ir   ;N; -66; 3.16; 3.91;54;   ;25.0;     ; ;     ; 149; 2.4;  1;[KK98a] 35
056.703750;+68.095833;IC0342            ;  8;03 46 48.9;+68 05 45; 21.38; ;12.81; 9.37; ;13.68; 4.57; ;  8.01;181; 6;     ; ;  29; 3.28;34.25;25;189;23.3;11.15; ;10.16; 244; 0.5;  1;IC0342
059.252500;+16.524444;UGC02905          ;  8;03 57 00.6;+16 31 28;  1.00; ;18.72;15.76; ;19.84;12.17; ; 15.76; 41;10;Ir   ;N; 292; 5.83; 2.23;62; 18;23.6; 7.93; ; 7.56; 344;-1.6;  1;UGC02905
059.956250;+67.125278;UGCA086           ;  5;03 59 49.5;+67 07 31;  4.47; ;     ;13.50; ;16.21; 8.17; ;      ;   ; 8;     ; ;  72; 2.96; 9.14;47;   ;23.2;     ; ;     ; 280; 1.3;  1;UGCA086
062.225417;-55.992222;IC2038            ;  5;04 08 54.1;-55 59 32;  2.09; ;17.16;14.98; ;     ;12.00; ;      ;   ; 7;     ; ; 712;19.20;11.14;79;   ;25.1;     ; ;     ; 505; 1.9;  1;IC2038
062.465833;-56.118333;NGC1533           ;  8;04 09 51.8;-56 07 06;  3.55; ;16.96;11.79; ;16.06; 7.63; ; 12.87;250; 1;     ; ; 785;19.40;20.17;37;186;23.0;10.91; ; 9.76; 577; 0.3;  0;NGC1533
063.171250;-23.158889;ESO483-013        ;  8;04 12 41.1;-23 09 32;  1.58; ;16.21;14.06; ;17.84;10.84; ; 16.11; 74; 9;BCD  ;N; 898; 7.40; 3.49;68; 34;23.5; 8.68; ; 7.63; 780;-1.3;  0;ESO483-013
066.315000;+72.805833;CamA              ;  7;04 25 15.6;+72 48 21;  3.72; ;20.08;14.84; ;19.35;11.64; ; 13.25; 38;10;Ir   ;L; -54; 3.93; 5.07;65; 16;25.8; 8.18; ; 8.22; 156; 0.2;  1;CAMEL GALAXY
067.420000;-27.408611;NGC1592           ;  7;04 29 40.8;-27 24 31;  1.41; ;14.36;14.45; ;     ;12.66; ; 15.64; 73;10;Ir   ;N; 945; 9.10; 3.75;75; 33;23.7; 8.68; ; 7.99; 798;-1.1;  0;NGC1592
067.704583;+64.848056;NGC1569           ;  8;04 30 49.1;+64 50 53;  3.98; ;15.60;11.79; ;12.84; 7.50; ; 12.59;101; 8;     ; ; -86; 3.06; 5.77;60; 51;22.0; 9.23; ; 8.27; 106; 1.1;  1;NGC1569
068.001250;+63.613889;UGCA092           ;  7;04 32 00.3;+63 36 50;  2.00; ;     ;15.22; ;17.11;11.00; ; 12.79; 56;10;Ir   ;L; -95; 3.01; 3.56;72; 25;23.5; 8.41; ; 8.17;  93; 1.7;  1;UGCA092
068.207917;+71.881111;NGC1560           ;  8;04 32 49.9;+71 52 52;  9.77; ;14.73;12.11; ;15.35; 9.26; ; 10.94;119; 7;     ; ; -36; 3.45;10.84;90; 52;24.8; 9.53; ; 9.03; 170; 1.0;  1;NGC1560
070.367500; -2.858056;NGC1637           ;  7;04 41 28.2;-02 51 29;  4.37; ;     ;11.47; ;15.01; 7.98; ; 13.14;188; 6;     ; ; 713; 9.29;12.12;39;133;23.1;10.40; ; 9.01; 646;-1.7;  0;NGC1637
